city,date,time,product_name,image_url,content_below_name,pieces,offer_percentage,actual_price,selling_price,delivery_time,ad_status,which_product
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Temple Sanctum Camphor & Amber Agarbatti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/9/17/43755a43-5b87-4312-8b2f-36a9a3a8aff8_766741_1.png",Traditional Religious Essentials,20 Sticks,26,100,74,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Temple Bambooless Premium Dhoop Sticks - with fragrance of Javadhu,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/20/b88cf83a-3dae-4aae-9c8b-2ab60d8cc75a_749928_1.png",Premium temple dhoop sticks with Javadhu fragrance,30 Sticks,10,250,225,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Scent Luxe Collections Gift Box,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/17/19601f8b-757e-41cf-9ff3-eb42fbec260c_557944_1.png",,1 pack,50,999,499,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Temple Divinity Sandalwood & Saffron Agarbatti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/2/ae5dfe45-a169-415f-a3c4-98ac960f50cf_156708_1.png",Sacred sandalwood and saffron incense sticks.,20 Sticks,10,100,90,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Sandalwood & Patchouli Temple Premium Dhoop Cones (40 cones),"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/20/421ace95-78bb-4229-af7f-6c1f081f2747_726389_1.png",Premium temple dhoop cones with rich aroma,40 pieces,10,150,135,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Bambooless Dhoop Stick 4 in 1 Jar,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/10/255b9381-f097-460b-aee8-2696c2f1dcaf_902961_1.png",Multipurpose dhoop with four divine fragrances,200 g,16,150,126,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Shubhkart Nirmal 5 in 1 Agarbatti Zipper,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/27/5809e141-bca9-4fda-a0b9-01f6452e85a0_9511_1.png",Fragrant agarbatti combo with 5 spiritual scents,150 g,15,70,59,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,"Mangaldeep Wet Dhoop 5In1 Value Pack: Sandal, Rose, Mogra, Marigold & Deluxe","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/7/631eca11-aafa-4a53-8b21-ddfbbde64015_66704_1.png",5 fragrance pack of wet dhoop sticks for spiritual rituals,176 g,9,75,68,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Treya Cup Sambrani,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/4/c3f7b699-0b83-4391-bcf3-210f49039d37_29014_1.png",Cup-shaped sambrani incense,9 pieces,8,75,69,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Shubhkart Nirmal Eco box Lavender agarbatti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/27/4945f373-e7b9-48b2-9325-db425e082b0f_10751_1.png",Eco-friendly lavender incense sticks for pooja,100 g,27,65,47,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Scent Premium Bambooless Dhoop Sticks with Black Oudh fragrance,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/20/0b410f83-204f-4d69-a600-9964887b4184_854918_1.png",Luxury dhoop sticks with black oudh scent,1 pack,10,250,225,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Cycle Bansuri 5 in 1 Agarbatti | From House of Cycle,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/8/12/e6dcbf44-b5a9-40a5-a7eb-7ad838572098_342859_1.png",,100 g,,,,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Cycle Medini 6 in 1 Dhoop Cones | From House of Cycle,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/8/12/6565cf16-92b9-4a3e-83d2-925052ee5084_744356_1.png",Calming ritual scents,1 pack,,,,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Zed Black Luxe Chandan Bamboo Less Agarbatti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/5/39d91541-996f-4861-abf5-8260821ba337_653043_1.png","Premium sandalwood incense, smokeless.",90 g,25,70,52,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Sankalp Pooja Camphor - Infused With Bhimseni,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/7/28/778bae92-ccc5-4cd9-8070-1615ba850177_712301_1.png",Camphor infused with Bhimseni for pooja use,50 g,12,100,88,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,"Homelites Matchbox (5 Pieces, Small)","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/ec26dc129444d099b9c38c63bd56223e",Reliable matchsticks for everyday or pooja use,1 box,10,10,9,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Zed Black Luxury Pineapple Agarbatti in Zipper Pack,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/1/3/7ad1c549-329d-4505-91d4-b13d1afed023_426005_1.png",Fruity-scented incense sticks in a zipper pack.,120 g,21,70,55,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Shri Samriddhi Enterprises Incense Sticks Rose,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/7/24/21fc0cd3-4d6a-45d7-bb3f-0dd0c31397ea_poojaneeds_6KT7O6UG5V_MN.png",Floral incense sticks with rose essence,150 g,38,90,55,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Phool Lavender Agarbatti I 100% Natural Certified Incense Sticks,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/1/23/c6dcb6fa-a395-41b9-badd-24ade75eace8_446796_1.png",Natural lavender incense sticks for relaxation,40 pieces,10,165,148,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,"Zed Black Parfum Bamboless Dhoop Sticks (1M , Aqua, CW , Black )","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/5/654f19ad-49b4-4083-b56d-33a1618b2fc7_227617_1.png",Assorted scented bambooless incense sticks.,28 pieces,23,60,46,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Shubhkart Nirmal Kapoor Loban Agarbatti Zipper,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/18/0715bee1-7bef-44d2-b5c3-4c42dacf7b71_9513_1.png",Camphor and loban scented agarbatti in zipper pack,150 g,12,75,66,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Soulflower Lavender Agarbatti for Puja Luxury|Handcrafted Charcoal Free Longlasting & Soulflower Sandalwood Chandan Agarbatti Puja Luxury Handcrafted Charcoal Free Longlasting,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/4/462766b4-b915-4d81-b0a9-5ee009bc0f0d_VC_DDJN0G4VJ.png",,1 combo,34,300,198,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:57:11 AM,Dabur Honitus Syrup,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/lac6khf2ydojrbcapfkg",Natural relief for cough and sore throat.,100 ml,14,121,104,9 MINS,Organic,Dabur Honitus Cough Syrup
Chennai South 600041,21-12-2025,11:57:11 AM,Hansaplast Antiseptic Waterproof Bandage for Wound Protection 20's Strips,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/11/13/5a942529-852c-4df2-82af-7ea52d6b0e51_594948_1.png",Waterproof antiseptic bandages for wound care,20 pieces,9,55,50,,Ad,Dabur Honitus Cough Syrup
Chennai South 600041,21-12-2025,11:57:36 AM,OM BHAKTI Cotton Cloth,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/6/12/bfa99024-eca4-4e2f-9d63-c0bae7ba1590_poojaneeds_M9Q41WOWFZ_MN.png",Pure cotton pooja cloth for spiritual rituals,1 Piece,3,29,28,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,SATVIK Divine Drapery: Red Cotton Gamcha for Worship,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/6/13/660db923-ddf7-45f8-b719-e6fcc9a97dd1_poojaneeds_ID6V01IUXW_MN.png",Sacred drapery for ritual worship,1 Piece,34,149,98,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shri Samriddhi Enterprises Mauli Kalawa Thread Moli,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/86b138dc948f79c47efb6b8d8a125786",Traditional red-yellow thread for pooja,20 g,38,80,49,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,OM BHAKTI Janeu,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/7/1/4d4ebee1-eed4-48d7-8912-fc35e4dc9264_poojaneeds_V4YZIV7O29_MN.png",Sacred thread for traditional Hindu ceremonies,2 pieces,,,,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shubhkart Tejas Round Cotton Wicks,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/30/1a2f21df-f0aa-4f87-b8dd-3b27b2c11d59_9519_1.png",High-quality round cotton wicks for diyas,14 g,13,15,13,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shubhkart Tejas Pure Ghee Wicks,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/9/6/81235e2c-40bd-4bed-8b21-120e2233824d_10755_1.png",Ghee-infused cotton wicks for diyas,30 pieces,14,89,76,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,OM BHAKTI wick for diya- cotton long batti 100N,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/1/9154ced7-d708-4672-828e-85c59994bee7_85693_1.png","Pure cotton, long-lasting wicks.",100 pieces,,,,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,OM BHAKTI Wick For Diya Cotton Flower Batti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/1/2949b28d-e0ca-4975-b883-94cb2624786a_28358_1.png",Cotton flower-shaped wicks for puja lamps,60 pieces,4,25,24,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shubhkart Janau,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/7b88c18f65e7229adde329bc1110ebab",Sacred thread for religious ceremonies,4 pieces,15,20,17,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shri Samriddhi Enterprises Phool Diya Baati,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/7/24/0016893f-7f77-48a1-9a49-b915e302828e_poojaneeds_2W7KM02NO3_MN.png",Cotton baatis for diyas shaped like a flower,200 pieces,36,60,38,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shubhkart Moli Roll,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/18/c8ae4803-41c1-40f0-bd56-ba3595554b7e_4798_1.png",Sacred red-yellow moli thread roll for rituals,1 Piece,10,20,18,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Shri Samriddhi Enterprises Pooja Cloth,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/19dd6cf49a7d7c04fa9f6e44fa60e8c3","Traditional Cloth, Festive Use.",1 Piece,36,50,32,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Cycle Bansuri 5 in 1 Agarbatti | From House of Cycle,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/8/12/e6dcbf44-b5a9-40a5-a7eb-7ad838572098_342859_1.png",,100 g,,,,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Happy Tyohaar White Puja Cloth-1.25 mtr,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/22/52516f08-5123-44cf-8b37-660892c9d345_453526_1.png",Pure white pooja cloth for sacred ceremonies,1 Piece,45,99,54,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,SATVIK Red Puja Cloth-1.25 mtr,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/14/c46fea91-d64f-4e7e-9c9f-c7dcc3754186_368741_1.png",Traditional red cloth for temple decor,1 Piece,49,99,50,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,"Cycle Pure Heritage Chandanam (Sandalwood) Incense Sticks, 200 gms","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/13/83930473-5238-4ee1-af3c-659adbc7e43c_557281_1.png",Sandalwood-scented incense sticks.,1 pack,10,150,135,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Cycle Pure Om Shanthi Gokula Gobar Upla,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/19/14c2fd63-dbba-4f7c-b15c-3cf3222fd1da_761374_1.png",,8 pieces,15,100,85,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Happy Tyohaar Orange Pooja Cloth (1.25m ),"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/22/2d0abe34-9c8e-4294-b6de-aade45cdbe04_906307_1.png",Orange cotton pooja cloth for rituals,1 Piece,44,99,55,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,OM BHAKTI Vastramala (with Kumkum & Ashtagandha) 2M,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/14/21a2fa29-86af-47a6-8891-67a659358167_53313_1.png",Sacred garland for holy rituals,1 Piece,3,29,28,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Happy Tyohaar Wheat,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/10/10/b48c73da-2613-4c21-a9f3-e2b16a1a5276_NPI-046515_1_20251010_044158.png",,100 g,,,,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,Happy Tyohaar White Cap,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/22/15c9a4cd-d6da-4b8e-b497-1ee7763b6a85_946278_1.png","Festive Style, Traditional Headwear.",1 Piece,20,89,71,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:57:36 AM,SATVIK Red Puja Cloth To Place Ganpati Idol 45.72 x 45.72cm (18x18 Inch),"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/11/20/571eaa25-24d0-41d4-b45d-eda4aac2ebbd_4D7GT09XBD_MN_20112025.jpg",Bright red cloth for divine setup,1 Piece,52,299,141,9 MINS,Organic,Lion Brand Yarn 24-7 Cotton Yarn
Chennai South 600041,21-12-2025,11:58:06 AM,"Clazkit Smart Pop up Ice Cube Tray for Freezer with Lid (BPA Free, Easy Release)","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/9/25/a4554541-da60-469a-9f15-0ae168bdb75e_783722_1.jpg",Innovative ice cube tray,1 Piece,44,199,110,9 MINS,Organic,Godrej 223 L 3 Star Convertible Freezer
Chennai South 600041,21-12-2025,11:58:06 AM,Godrej Aer Matic Kit (Machine + 1 Refill) Automatic Room Freshener Violet Valley Bloom,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/7/12/07b9f130-5e49-445b-ad87-42abb51c943a_20389_1.png",Floral fragrance automatic room freshener,210 ml,16,549,461,9 MINS,Organic,Godrej 223 L 3 Star Convertible Freezer
Chennai South 600041,21-12-2025,11:58:06 AM,Godrej aer Plug Violet Bloom - Machine + 2 Refills - Electric Air Freshener,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/3/04514107-2853-439c-b9f0-a8d748641255_617647_1.png",Electric plug-in air freshener with refills,20 ml,,,,9 MINS,Organic,Godrej 223 L 3 Star Convertible Freezer
Chennai South 600041,21-12-2025,11:58:06 AM,Gillette Venus Simply - Hair Removal Razor For Women 3 Blades,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/ed914cf97c69aadb8ee4ca159c36ee3f",3-blade disposable razor for smooth shaving,1 Piece,,,,9 MINS,Organic,Godrej 223 L 3 Star Convertible Freezer
Chennai South 600041,21-12-2025,11:58:06 AM,Godrej Fab Liquid Detergent Refill Pouch for Machine & Hand Wash,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/eb1abd9c-daae-4c9e-b4e7-5610c9d3e6ef_193ZFMMCUY_MN_18122025.png","Powerful Clean, Convenient Refill.",950 ml,12,99,87,9 MINS,Organic,Godrej 223 L 3 Star Convertible Freezer
